PRODUCT GROUP,PRODUCT SUBGROUP,BRAND,SKU,TITLE,URL,PRODUCT IMG URL,AVAILABLE,CURRENCY,PRICE REGULAR,PRICE OFFER,PRICE REGULAR USD,PRICE OFFER USD,PRICE OFFER ALLIES,PRICE OTHER SELLERS,DISCOUNT,DISCOUNT PCT,STORE,DT
Tecnologia,Tecnologia,SAMSUNG,8500749,Secadora Gas 22 KG DVG22R6270W/CO,https://www.falabella.com.co/falabella-co/product/8500749/Secadora-Samsung-Gas-22-KG-DVG22R6270W-CO,https://media.falabella.com.co/falabellaCO/8500749_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,4269900,2899900,853,579,"[('cmrPrice', 2269900)]","[('cmrPrice', 2269900)]",-1370000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,SAMSUNG,72901287,Torre de Lavado 22 kg Gas Laundry Hub WH22DBH570GVCO,https://www.falabella.com.co/falabella-co/product/72901287/Torre-de-Lavado-Samsung-22-kg-Gas-Laundry-Hub-WH22DBH570GVCO,https://media.falabella.com.co/falabellaCO/72901287_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,12499900,7999900,2499,1599,"[('cmrPrice', 7599900)]","[('cmrPrice', 7599900)]",-4500000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,MABE,67712657,Nevera Congelador superior No Frost 297 lt Platinum RMA313FXCT,https://www.falabella.com.co/falabella-co/product/67712657/Nevera-Mabe-Congelador-superior-No-Frost-297-lt-Platinum-RMA313FXCT,https://media.falabella.com.co/falabellaCO/67712657_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,2621900,1899900,524,379,"[('cmrPrice', 1739900)]","[('cmrPrice', 1739900)]",-722000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,LG,63561425,Lavadora Carga frontal 22 KG WM22VV26R,https://www.falabella.com.co/falabella-co/product/63561425/Lavadora-LG-Carga-frontal-22-KG-WM22VV26R,https://media.falabella.com.co/falabellaCO/63561425_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,6399900,3499900,1279,699,"[('cmrPrice', 3279900)]","[('cmrPrice', 3279900)]",-2900000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,IMUSA,9818213,Licuadora Infiny Force 10 Velocidades 600 W,https://www.falabella.com.co/falabella-co/product/9818213/Licuadora-Imusa-Infiny-Force-10-Velocidades-600-W,https://www.falabella.com.co/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/falabellaCO/9818213_01/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,260900,139900,52,27,"[('cmrPrice', 129900)]","[('cmrPrice', 129900)]",-121000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,LG,8831972,Lavadora Secadora Eléctrica 16 kg WD16EG2S6AESECO,https://www.falabella.com.co/falabella-co/product/8831972/Lavadora-Secadora-LG-Electrica-16-kg-WD16EG2S6AESECO,https://media.falabella.com.co/falabellaCO/8831972_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,6499900,3769900,1299,753,"[('cmrPrice', 3569900)]","[('cmrPrice', 3569900)]",-2730000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,LG,63561426,Secadora Gas 22 KG DF22VV2R,https://www.falabella.com.co/falabella-co/product/63561426/Secadora-LG-Gas-22-KG-DF22VV2R,https://media.falabella.com.co/falabellaCO/63561426_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,4999900,2699900,999,539,"[('cmrPrice', 2549900)]","[('cmrPrice', 2549900)]",-2300000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,SAMSUNG,sku10050037,Combo Lavadora y Secadora 22KG WF22R6270AW/CO,https://www.falabella.com.co/falabella-co/product/prod10900095/Combo-Lavadora-y-Secadora-22KG-Samsung-WF22R6270AW-CO,https://media.falabella.com.co/falabellaCO/sku10050037_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,9459800,6419700,1891,1283,"[('cmrPrice', 5289700)]","[('cmrPrice', 5289700)]",-3040100,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,HACEB,66218387,Lavadora Carga Superior 18 KG LA18EVI16B-CC1HW,https://www.falabella.com.co/falabella-co/product/66218387/Lavadora-Haceb-Carga-Superior-18-KG-LA18EVI16B-CC1HW,https://media.falabella.com.co/falabellaCO/66218387_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,2240900,1798900,448,359,"[('cmrPrice', 1599900)]","[('cmrPrice', 1599900)]",-442000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,HACEB,71892609,Nevera Congelador superior No Frost 226 lt H6164NT24,https://www.falabella.com.co/falabella-co/product/71892609/Nevera-Haceb-Congelador-superior-No-Frost-226-lt-H6164NT24,https://media.falabella.com.co/falabellaCO/71892609_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,2109900,1643900,421,328,"[('cmrPrice', 1499900)]","[('cmrPrice', 1499900)]",-466000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,LG,sku12230151,Combo Lavadora Carga frontal 22 KG WM22VV26R + Secadora Gas 22 KG DF22VV2R,https://www.falabella.com.co/falabella-co/product/prod13350610/Combo-Lavadora-LG-Carga-frontal-22-KG-WM22VV26R-+-Secadora-LG-Gas-22-KG-DF22VV2R,https://media.falabella.com.co/falabellaCO/sku12230151_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,11399800,6199700,2279,1239,"[('cmrPrice', 5829700)]","[('cmrPrice', 5829700)]",-5200100,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,ELECTROLUX,123422678,Aspiradora Vertical 2 en 1 Power Speed STK12.,https://www.falabella.com.co/falabella-co/product/123422677/Aspiradora-Vertical-2-en-1-Electrolux-Power-Speed-STK12.,https://media.falabella.com.co/falabellaCO/123422678_02/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,249900,109900,49,21,[],[],-140000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,SAMSUNG,72933334,Nevecón French Door 809 lt Family Hub¿ BESPOKE RF29DB995012CO | Pantalla 32 pulgadas | Inteligencia Artificial | Cámara Reconocimiento de Alimentos,https://www.falabella.com.co/falabella-co/product/72933334/Nevecon-Samsung-French-Door-809-lt-Family-Hub-BESPOKE-RF29DB995012CO-Pantalla-32-pulgadas-Inteligencia-Artificial-Camara-Reconocimiento-de-Alimentos,https://media.falabella.com.co/falabellaCO/72933334_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,18999900,15199900,3799,3039,"[('cmrPrice', 14329900)]","[('cmrPrice', 14329900)]",-3800000,NO,www.falabella.com,2025-05-02
Tecnologia,Tecnologia,NINJA,73247601,"Máquina de Bebidas Slushi para Granizados, Frappé, Raspados y Cócteles | Máquina Profesional para Bebidas Congeladas","https://www.falabella.com.co/falabella-co/product/73247601/Maquina-de-Bebidas-Ninja-Slushi-para-Granizados,-Frappe,-Raspados-y-Cocteles-Maquina-Profesional-para-Bebidas-Congeladas",https://media.falabella.com.co/falabellaCO/73247601_1/public,"{'homeDeliveryShipping': '', 'pickUpFromStoreShipping': '', 'internationalShipping': '', 'primeShipping': ''}",COP,1499900,1299900,299,259,[],[],-200000,NO,www.falabella.com,2025-05-02
