image_url,name,item_id,url,in_stock
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/773473/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 43 Pulgadas LED 43kg84 Bt Googletv Negro,773473,https://www.homecenter.com.co/homecenter-co/product/773473/televisor-43-pulgadas-led-43kg84-bt-googletv-negro/773473/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/773773_03/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 65"" Pulgadas 165 Cm Oled65g4 4k-Uhd Oled Smart Tv",773773,https://www.homecenter.com.co/homecenter-co/product/773773/tv-lg-65-pulgadas-165-cm-oled65g4-4k-uhd-oled-smart-tv/773773/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/776381/w=1036,h=832,f=webp,fit=contain,q=85","Televisor Hisense 50"" 50a6n Smart Tv 4k",776381,https://www.homecenter.com.co/homecenter-co/product/776381/televisor-hisense-50-50a6n-smart-tv-4k/776381/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/776382/w=1036,h=832,f=webp,fit=contain,q=85","Televisor Hisense 43"" 43a6n Smart Tv 4k",776382,https://www.homecenter.com.co/homecenter-co/product/776382/televisor-hisense-43-43a6n-smart-tv-4k/776382/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/776388_01/w=1154,h=832,f=webp,fit=contain,q=85","Televisor Hyundai 43"" Hyled4325rim Smart Tv Roku",776388,https://www.homecenter.com.co/homecenter-co/product/776388/televisor-hyundai-43-hyled4325rim-smart-tv-roku/776388/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/776385/w=1036,h=832,f=webp,fit=contain,q=85","Televisor Hyundai 50"" Hyled5023r4km Smart Tv Roku",776385,https://www.homecenter.com.co/homecenter-co/product/776385/televisor-hyundai-50-hyled5023r4km-smart-tv-roku/776385,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/753976/w=1036,h=832,f=webp,fit=contain,q=85",Televisor 55 Pulgadas LED 4K UHD 55ut8000psb,753976,https://www.homecenter.com.co/homecenter-co/product/753976/televisor-55-pulgadas-led-4k-uhd-55ut8000psb/753976/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/769118/w=1036,h=832,f=webp,fit=contain,q=85","Televisor Caixun 32"" Hd Smart Tv C32vjhz Negro",769118,https://www.homecenter.com.co/homecenter-co/product/769118/televisor-caixun-32-hd-smart-tv-c32vjhz-negro/769118/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/773786/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 50"" Pulgadas 127 Cm 50nano80 4k-Uhd Nanocell Smart Tv",773786,https://www.homecenter.com.co/homecenter-co/product/773786/tv-lg-50-pulgadas-127-cm-50nano80-4k-uhd-nanocell-smart-tv/773786/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/773781/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 50"" Pulgadas 126 Cm 50ut8050tsa 4k-Uhd Led Smart Tv",773781,https://www.homecenter.com.co/homecenter-co/product/773781/tv-lg-50-pulgadas-126-cm-50ut8050tsa-4k-uhd-led-smart-tv/773781/,1
"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/sodimacCO/773778/w=1036,h=832,f=webp,fit=contain,q=85","Tv Lg 55"" Pulgadas 140 Cm 55nano80 4k-Uhd Nanocell Smart Tv",773778,https://www.homecenter.com.co/homecenter-co/product/773778/tv-lg-55-pulgadas-140-cm-55nano80-4k-uhd-nanocell-smart-tv/773778/,1
