mdm_id|seg_cliente_2018_trim2|emergente_201812_2018_trim2|capa_cliente_201812_2018_trim2|banco_de_occidente_saldo_comercial_2018_trim2|banco_de_occidente_saldo_leasing_2018_trim2|banco_de_occidente_saldo_total_2018_trim2|banco_de_occidente_cal_2018_trim2|banco_de_occidente_obl_2018_trim2|bancolombia_saldo_comercial_2018_trim2|bancolombia_saldo_leasing_2018_trim2|bancolombia_saldo_total_2018_trim2|bancolombia_cal_2018_trim2|bancolombia_obl_2018_trim2|de_bogota_saldo_comercial_2018_trim2|de_bogota_saldo_leasing_2018_trim2|de_bogota_saldo_total_2018_trim2|de_bogota_cal_2018_trim2|de_bogota_obl_2018_trim2|itau_saldo_comercial_2018_trim2|itau_saldo_leasing_2018_trim2|itau_saldo_total_2018_trim2|itau_cal_2018_trim2|itau_obl_2018_trim2|davivienda_saldo_comercial_2018_trim2|davivienda_saldo_leasing_2018_trim2|davivienda_saldo_total_2018_trim2|davivienda_cal_2018_trim2|davivienda_obl_2018_trim2|bbva_saldo_comercial_2018_trim2|bbva_saldo_leasing_2018_trim2|bbva_saldo_total_2018_trim2|bbva_cal_2018_trim2|bbva_obl_2018_trim2|popular_saldo_comercial_2018_trim2|popular_saldo_leasing_2018_trim2|popular_saldo_total_2018_trim2|popular_cal_2018_trim2|popular_obl_2018_trim2|scotiabank_colpatria_saldo_comercial_2018_trim2|scotiabank_colpatria_saldo_leasing_2018_trim2|scotiabank_colpatria_saldo_total_2018_trim2|scotiabank_colpatria_cal_2018_trim2|scotiabank_colpatria_obl_2018_trim2|banagrario_saldo_comercial_2018_trim2|banagrario_cal_2018_trim2|banagrario_obl_2018_trim2|av_villas_saldo_comercial_2018_trim2|av_villas_cal_2018_trim2|av_villas_obl_2018_trim2|gnb_sudameris_saldo_comercial_2018_trim2|gnb_sudameris_cal_2018_trim2|gnb_sudameris_obl_2018_trim2|citibank_saldo_comercial_2018_trim2|citibank_cal_2018_trim2|citibank_obl_2018_trim2|bcsc_saldo_comercial_2018_trim2|bcsc_cal_2018_trim2|bcsc_obl_2018_trim2|bancoomeva_saldo_comercial_2018_trim2|bancoomeva_cal_2018_trim2|bancoomeva_obl_2018_trim2|banco_pichincha_saldo_comercial_2018_trim2|banco_pichincha_saldo_leasing_2018_trim2|banco_pichincha_saldo_total_2018_trim2|banco_pichincha_cal_2018_trim2|banco_pichincha_obl_2018_trim2|coopcentral_saldo_comercial_2018_trim2|coopcentral_cal_2018_trim2|coopcentral_obl_2018_trim2|santander_saldo_comercial_2018_trim2|santander_cal_2018_trim2|santander_obl_2018_trim2|multibank_saldo_comercial_2018_trim2|multibank_cal_2018_trim2|multibak_obl_2018_trim2|banco_procredit_saldo_comercial_2018_trim2|banco_procredit_cal_2018_trim2|banco_procredit_obl_2018_trim2|banco_finandina_saldo_comercial_2018_trim2|banco_finandina_saldo_leasing_2018_trim2|banco_finandina_saldo_total_2018_trim2|banco_finandina_cal_2018_trim2|banco_finandina_obl_2018_trim2|bancamia_saldo_comercial_2018_trim2|bancamia_cal_2018_trim2|bancamia_obl_2018_trim2|bancompartir_saldo_comercial_2018_trim2|bancompartir_cal_2018_trim2|bancompartir_obl_2018_trim2|mundo_mujer_saldo_comercial_2018_trim2|mundo_mujer_cal_2018_trim2|mundo_mujer_obl_2018_trim2|leasing_bancoldex_saldo_leasing_2018_trim2|leasing_bancoldex_cal_2018_trim2|leasing_bancoldex_obl_2018_trim2|otros_saldo_leasing_2018_trim2|otros_cal_2018_trim2|otros_obl_2018_trim2|sistema_bancario_saldo_comercial_2018_trim2|sistema_bancario_saldo_leasing_2018_trim2|sistema_bancario_saldo_total_2018_trim2|sistema_bancario_obl_2018_trim2|sistema_bancario_cal_2018_trim2|sistema_bancario_min_cal_2018_trim2|sistema_bancario_max_cal_2018_trim2|banco_de_occidente_particip_comercial_2018_trim2|banco_de_occidente_particip_leasing_2018_trim2|banco_de_occidente_particip_total_2018_trim2|oportunidad_comercial_2018_trim2|oportunidad_leasing_2018_trim2|huellas_ultimos_6m_2018_trim2
450448148.5|pymes|emergente|oro||54.0|54.0|a|1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|54|54|1|a|a|a||1.0|1.0|0|0|0.0
415024270.0|pymes|emergente|oro||287.0|287.0|a|1.0|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|287|287|1|a|a|a||1.0|1.0|0|0|8.0
445352098.0|corporativo|emergente|oro|0.0|2.0|2.0|a|2.0|0.0||0.0|a|1.0|0.0||0.0||3.0|0.0||0.0|a|2.0|0.0||0.0|a|1.0|||||||||||||||||||||||||308.0|a|13.0||||||||||||||||||||||||||||||||||||||||||||308|2|310|22|a|a|a|0.0|1.0|0.006451613|308|0|21.0
